daily_active_user_part1
user_screen_name,user_id_str,active_days
martinbrossman,14119630,6
i_fernando,29962012,5
ncazals,79844395,5
yktalks,68398349,5
pratitimajumdar,205931698,5
rusnewton98,2855041037,8
Mathew30,30992650,13
Brideofrocknrol,23808818,12
CactoKaur,14205478,6
Trafficspinners,45323163,5
vaibhav926,74468092,9
txomon,125675649,6
IMRANKHANMOGUL,151039885,5
anishsangamam,140738682,14
sumantvasan,2643486098,5
LalwaniNiraj,1666520694,5
DanTup,61238575,7
ShakataGaNai,14565884,5
DanielToner,117622520,5
sidd15121987,136182379,5
rucchir,74934167,7
iamandeepdua,69216275,6
bridyid5,2487134674,5
tuteja_shruti,836849147244339200,5
QuentinPotter3,793273269222797312,7
Tdam3Trey,598538099,5
MrsSardines,1399965709,6
Nasruhllah07,774275636101873668,7
MominSaifoddin,705018428483112960,10
theonetruebix,15413409,19
siddiq10931093,86029062,11
TaiKamiya101,538549155,5
Music_lupe,277305534,6
sixfishesphilly,19649319,6
nelle_belle91,139301405,5
2SixTwo,3789082213,7
forthereading,1191703062,6
Green_JamesBee,466384851,6
tanujrawat1,505481011,6
mad_ashish,44812007,6
bigbamee,185219338,5
rooniitdeb,149477154,8
ltweetl,223961574,5
likhilpunjabi,314445868,5
Arthi305,737607555858325504,7
RobynCobbold,21041619,5
jademc120,305857840,7
SausageofPower,26619513,5
xtye_,173377262,6
windroidica,2308798004,5
khalidraza9,101964473,6
nadu_bda,2219985456,5
kmayyank,388738029,6
chakam_uday,786518369155506176,5
antidumb,25275742,5
Zaedlo,59203639,9
avocado__toast,48618530,9
JohnDso64841345,4113185435,5
rashmirawat2912,3939183493,8
RachelWhisker87,355860475,7
bhandary_chirag,2154418802,5
Krriztin,28090061,6
kaimal_hari,166893639,5
Abhinav1bansal,3315608602,5
magicalwife,2427928976,5
librarykat,16678550,7
vickram_chandak,593127032,6
Steph_CO7272,1008060450,10
chaudhary93,133653438,5
realvishalraj,3165014492,5
BHAVITA8,1904765227,6
kgaurav00,3322188248,5
JanArrah,49576954,6
DeirdreWriter,130535139,6
iamtrideep,493941380,11
vaishalimitra,149912101,6
PaulEPetty,131310401,8
Mike_Soldner,832057176,6
JoeSiegler,28020360,8
msmitka,14486807,7
arifkhan7,71302070,5
FatimaSiraja,562366927,6
Cena_316_AA,38064765,5
tvjames,822177,5
sureshmuthrotil,14474054,6
TheTreavor,22171741,5
Kevin_Ellen_,329318603,5
lupitasahu,225878277,6
michelledefeo,364922032,8
caffdtravels,2341184034,5
music_theism,744395344016879620,6
thekoreankappa,833534991493636096,5
EDGAurora,1967676368,5
Rajeshk76856612,866684497546231808,5
BuzzMcClain,808456433872306177,7
Kar4change,816037443468197892,6
VlSlT,3068784488,5
AW0079,21064452,13
gautammahajan11,764352385,5
chelseaepenney,455398854,6
CourierZero,1217161502,11
AmpersUK,214049826,5
gauthamrandom,334489387,5
ikumarvinod,235559055,9
Localboy_Ash,587376186,14
AkiraSakura2,1064415878,6
ItsJustMe_Rae,3009368979,6
Bescent28,704181213334937601,6
jjackson235,145153049,5
CregorNews,434138083,5
SouthernScenic,23456146,5
MrDeckotron,339848271,5
markkorput,15351491,5
FinalGamerJames,126438609,5
NOtoGMOs,49989431,9
NakulKaushik88,3243729912,5
J_cooper1990,885336408,8
amruthhr,64041474,13
linpswa,54528620,10
mehulsthakker,187257670,5
AshBurnOvrdrive,488540026,7
Ahmed_Awad1212,62705229,5
AndyMRoberts,301381979,6
maxpowley,11920632,5
Awesomichael23,2922164726,5
krishi_89,3462186912,6
swapnil_rk,125365751,6
SBillingtonfan,2712332275,11
spradhan1210,2892047065,11
kjhabak,559425755,6
pankajpeshavari,865938712005365760,6
happysach,710681467651624960,11
topgun1700,18546339,6
djiquad,4707813086,7
GothboyUK,250214902,5
neonladder,21651074,5
itzmepravesh,162316823,5
jcline35,51120513,8
knepp_lindsey,817699501293129728,6
McQuaidKP,40869710,5
KirrrrstyLight,2835021711,5
ritarodwell,45876955,7
zegolf,14932406,5
SanghviHarshraj,826080295711625217,5
BionicBombshell,127111907,6
neerajt1971,727477608011571200,5
BhavinTolia,36101298,6
TechyFarooqui,3006076339,6
mee_ind,57275846,5
shoe3r,201886488,7
sravan1802,88726244,7
beautlittlefool,2243736468,7
MyOregonLife,2284005775,6
priskypaws,26072340,8
theghostofkip,26787826,5
nellemel,108798356,5
Uttam20Uttam,3979623264,5
wdowell,6575472,5
_KylaMarie_,73544761,6
atreyee21,125549164,6
krissna_krissna,453958386,6
SardarGurvinde2,4676764704,5
That_Musician,526010652,5
ateeqtak,169857536,7
mcp111,15178679,10
kamala_chan,116341095,5
See_i_can_fly,73937769,11
jordanwaring87,47584774,5
Bunny_spy,95690710,5
caprasul,3219027614,5
B_Lachani,1027098103,5
PrateekMarlecha,2268638768,5
Kam_54321,3081841793,5
vickyappy30,2233372459,5
RyanWSinclair,170667264,5
CarlosG67,29548628,9
sonicman4321,2439352879,7
shipra_im,912722124,5
RISSHHII,99273069,5
omshivaprakash,16101134,5
Horrorfan419,293677963,5
hfactor,17731339,6
RuddyglowPark,149236006,5
Vaderundead,4805069673,6
Karthikeyapisup,4452075193,5
vision_ogl,727534589468532736,5
matthewD2013,1300002864,9
THEPIMPHACKER,271101710,12
NATFXDA,270375787,6
OfficialPiyush,619427787,5
Eva250178,293447041,14
ColdXzero,2932058297,5
destiny4ever2u,76584269,5
Rookii24,39935272,8
HKhatale,827805937771503616,5
ankitpalsri,279387044,5
Bunnyaimee,23019151,9
VinayK1991,61606664,6
hg6,13765572,7
Urban_struggle,2302732471,5
simonbangs,43617802,7
JimPierobon,54251727,10
JelloBelle,69474850,6
nomnom_mania,1036308488,7
tarunpunwani,14907839,5
JoeMedal,19191538,6
elab49,629354934,8
vikramwkarve,2304720642,8
Careermappersd,1608794084,5
SmitSuv,2397772844,5
BillyTheBigBone,362763757,16
Tilbo_Tweets,133460244,6
topsurveys,286242688,5
OctavioDelano,2347968828,5
Sulalee1,200206858,5
davyiphone,1195658958,6
SthrnDixieCwgrl,54704557,27
BenMyatt74,19919515,5
Shakirfahim1,878192295987867648,5
ash_mcloone,23068174,6
Kalekemo,34803492,5
balagopalks,43828556,5
heetshah97,3143395706,6
VK_231,180361172,5
AgentDie,2200871844,7
SubratShasank,4719402324,5
PrasaadJoshi,845145444,6
Mohitve75936435,4893071304,7
consultantweet,1639136594,5
RaghavKhunger,30256180,5
Hope4evamore,718856897730854912,6
Musashi1596,61149346,6
theachopsbooks,799358397367877632,5
dahnamchandler,15805170,8
firstbascia,32137033,5
skmahtab,33560945,5
paulstevenlewis,20790669,5
manojk2209,1559903875,6
meljridge,250321402,9
PritiYa80985097,719544958877696001,10
KnittedLamb,40552570,6
cocobobi,300813035,5
KSean02,3252507746,5
Speechlesstx,95945333,5
musicxtu92,466818620,9
sundevesh,204431120,5
neerajap3,160073361,5
microrao,76061012,6
sng628,100613504,6
vishal2323,96312930,12
353839052d72499,3025211876,9
flowmastr1x,39395899,7
RITESHKHABIYA,450676096,8
briancyork,1589344782,6
netajee,137944902,5
SpeakUp_IN,803555957733109760,11
HarrietPH,1149358428,5
nsvaluto74,762435621633744896,5
ebuie,13232092,6
BlackBerry_Mama,170130930,5
Paulbissac1,833230601779949568,5
bawbag,15454963,5
deepak12may85,4673571020,7
hd_nemesis,73097498,5
opjha,100468594,5
JiteshChhabria,434800262,5
dabassman,14751142,6
IamMelly03,1672102627,5
zyusoken,2868342566,10
notarelys,449211149,5
x_Th3_Truth_x,126275079,5
lewyitfc,351806152,8
ajaygupta1974,26064052,5
divakardas22,378520650,5
robinminkpiss,19619272,6
IpsitaRichi,923435816,6
JohnMFurlong,2983836055,5
hamzaazam92,130613237,5
birdskylife,746249790569254912,5
JonBenditz,773346,5
RGengage,120410501,9
pranabdavinci,2366888623,11
maximum_z,129266889,5
alluneediz1mik3,35051582,6
bala43212,38803772,5
Twitte2Ranga,3021485983,7
Mindful2move,276563438,5
neelanjanbarman,285222173,7
jenniespary,2800223095,5
Hungrypunjabi,148808815,5
DavidELever,18638692,5
manicminaj,3055235056,6
Just_Me_Lauren,706951793016590336,7
Tillums,206642342,5
sakethabhi,225815970,5
jaxiwest,121318872,5
ON8CB,1079912580,5
TheMasterBaiter,16275465,7
GTIMKVII,2322387605,5
ItsTxcker,780511623425458176,5
cjmitra,200108931,5
waldvogelk,19168933,6
dealsandloots,787117533719560192,11
divyesh_tamboli,144122115,6
BeyondGrave,17527115,5
kagarg90,2210976025,5
Cypnos,2739775987,7
DevjotN,845604400999661568,9
DigitlScientist,3372380115,5
Amez_W,1341265634,5
Harry_k3721,3411563867,7
Akshay_goplani,2889927415,10
Mahimd7,280859344,5
Jcamps30,165301682,6
ThatBallerKru,2993286430,6
Heart1QueenBee,307075287,9
Nihit_maverick,4384021696,5
Onestudpuppy,255806428,7
chetan_cbe,3793634414,6
ramscrism,81629063,6
avinevergiveup,754534205502136324,8
drmjp93,284157036,6
Mohan_Rngnathan,272456715,11
Kristen_Howe,39124778,5
kimmisearle,2842757176,5
AshitMr,1426939406,5
sagar3225,161778392,5
NuroDev,2223516397,6
davecraige,17786914,9
Ronakjobanputr1,1118337270,6
voxya_,801462165345550337,6
Rakesh2132017,844239138769551361,5
anthjamre,128657766,6
catloverplayer,40248562,5
jitenderboss202,865160440250105857,5
MissSmallVoice,259779047,5
inderpreet_83,744511861,5
AshishK90634189,838703000516497408,6
Lozza2285,4860411251,5
VEMVintage,922302955,6
mileyfan2017,1852139480,6
santaarnold,52795609,8
patriciaeff,17194863,5
The89thGuardian,30924249,5
singhkislaya91,413848234,6
rheird,19192576,5
YoungPadawanPR,749383153937244164,7
_danielchris,136895681,6
pinkigupta89,787171274200088576,6
pallabrout,1157191909,5
iwritegarima,3285473358,11
only4ojha,53624188,6
KaranJaswani1,310987276,5
UnsolicitedPM,3196478898,6
Roopa_Awesome,781106864939347968,7
Ronnie_hul,117630515,6
chickenb00,16193077,5
PumpkinPieYum,809748623512596480,5
Er_Snk,52804269,5
adit_morzaria,586301042,5
lalitsurana,97826794,5
alyciadebdamnn,705971208,5
